ID,Beta,Chr,Pos,FDR
cg09418354,-0.00451833385184846,12,104702468,0.00212785788378248
cg19459094,-0.00485045472769561,5,176856845,0.0113265584962521
cg09948336,-0.00389051853556034,11,64394492,0.0139787209842706
cg16298963,-0.00461052991394456,7,23001739,0.0153562703916719
cg15355146,0.00445411224910354,1,40368366,0.0195742588300319
cg16969872,-0.00479562864659461,13,79968324,0.0195742588300319
cg17733190,-0.00598854324811475,12,1627469,0.0195742588300319
cg06592160,-0.00952339170376493,13,41197899,0.0212215179050067
cg12664243,0.00458152450640387,12,7261949,0.0212215179050067
cg12846938,0.00535448030219374,19,14640140,0.0212215179050067
cg01763902,-0.00426721366688908,6,112680698,0.0212215179050067
cg21058710,-0.00329394433353502,12,125349752,0.0212215179050067
cg13791589,-0.00328730839095432,1,205649091,0.0212215179050067
cg03571532,-0.00329638535588659,6,30610592,0.0231136740047076
cg19807420,0.0059428692528444,17,1090905,0.0231136740047076
cg09073052,0.00477017969694428,1,16010601,0.0233371994412559
cg06338511,0.00645487547968319,1,65549912,0.0233371994412559
cg06315347,0.00393715412257454,1,227696691,0.0233371994412559
cg18626478,-0.00836284325051815,2,205591269,0.0236447782319759
cg24306430,0.00362170706094431,12,124590463,0.0267235507999728
cg06536951,0.0069643971216027,18,8781701,0.0296496100752666
cg08752431,-0.00653425027721354,16,87752622,0.0299462670761386
cg02438517,0.00532347405323903,1,167523547,0.0303554867359398
cg24007161,-0.00436817913204935,2,219261591,0.0303554867359398
cg09791102,-0.00213042356209642,16,27353414,0.0303554867359398
cg11203714,0.00515679386789686,6,31588231,0.0303554867359398
cg23256822,-0.00279420555637429,2,103048916,0.0303554867359398
cg25475842,-0.00263643383391252,22,40865311,0.0330631607623274
cg01278901,-0.00252945014861337,16,15977963,0.0333985533727571
cg18224988,0.0025886601682041,10,21787079,0.0333985533727571
cg08129374,0.00468259487554771,22,43506505,0.0333985533727571
cg07736123,-0.00312743332633503,19,15236457,0.0333985533727571
cg12709527,0.0053016526264221,13,99228614,0.0356331161121333
cg03224746,-0.00336315024896867,6,10435452,0.038798501641643
cg13186790,-0.00382425518440147,4,10117514,0.0390077954956325
cg10773670,-0.0191623255182615,20,23331356,0.0390077954956325
cg00710249,0.00242964616902128,16,2144849,0.0390077954956325
cg17077639,-0.00397769254954007,6,31055492,0.0390077954956325
cg00282267,-0.00554997938298371,7,36803916,0.0390077954956325
cg24557878,-0.00353953293702936,4,125634524,0.0390077954956325
cg17232014,-0.00751627114611881,12,13153193,0.0390077954956325
cg02478379,0.00365086247603495,5,170814123,0.0399368044889156
cg06956805,0.00295621121115427,11,485055,0.0399368044889156
cg12691198,-0.00486693940446527,16,50775626,0.041716709341988
cg02801359,-0.00793506175553744,20,58508922,0.0429828429968637
cg24341759,0.00388134901086406,1,54769849,0.0432826590925399
cg17306581,-0.00215661569575172,3,177873706,0.046427821990091
cg19272617,0.00307034287310377,20,46415489,0.0484122123456284
cg26001336,-0.00410222172416246,19,18315002,0.0484122123456284
